length_px,diameter_px,depth,ratio_pixel_length,ratio_pixel_diameter
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,67.0,590.0,0.4746,0.4591
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.474,0.4562
301.0,65.0,590.0,0.4753,0.4591
301.0,66.0,590.0,0.4753,0.4591
300.0,65.0,689.95,0.5561,0.5368
299.0,65.0,689.89,0.5561,0.5368
300.0,65.0,690.01,0.5561,0.5368
301.0,65.0,689.93,0.5561,0.5368
302.0,65.0,689.87,0.5561,0.5368
300.0,65.0,689.94,0.5561,0.5368
301.0,65.0,689.89,0.5561,0.5368
300.0,65.0,689.98,0.5561,0.5368
300.0,65.0,690.01,0.5561,0.5368
299.0,67.0,687.29,0.5561,0.5368
302.0,65.0,689.94,0.5561,0.5368
299.0,65.0,689.92,0.5561,0.5368
302.0,65.0,689.95,0.5561,0.5368
300.0,65.0,689.92,0.5561,0.5368
301.0,65.0,690.03,0.5561,0.5368
302.0,65.0,689.9,0.5561,0.5368
300.0,65.0,689.99,0.5561,0.5368
301.0,65.0,689.89,0.5561,0.5368
301.0,65.0,689.98,0.5561,0.5368
301.0,65.0,689.99,0.5561,0.5368
300.0,65.0,689.91,0.5561,0.5368
302.0,65.0,689.94,0.5561,0.5368
298.0,67.0,688.39,0.5561,0.5368
301.0,65.0,689.96,0.5561,0.5368
301.0,65.0,690.0,0.5561,0.5368
299.0,67.0,689.72,0.5561,0.5368
300.0,65.0,689.94,0.5561,0.5368
301.0,65.0,690.0,0.5561,0.5368
302.0,65.0,689.9,0.5561,0.5368
302.0,65.0,689.91,0.5561,0.5368
300.0,65.0,689.98,0.5561,0.5368
301.0,65.0,689.94,0.5561,0.5368
301.0,65.0,689.99,0.5561,0.5368
302.0,65.0,689.96,0.5561,0.5368
299.0,65.0,689.92,0.5561,0.5368
302.0,65.0,689.99,0.5561,0.5368
300.0,65.0,689.97,0.5561,0.5368
299.0,65.0,689.97,0.5561,0.5368
300.0,65.0,689.97,0.5561,0.5368
301.0,65.0,690.01,0.5561,0.5368
301.0,65.0,689.95,0.5561,0.5368
300.0,65.0,689.93,0.5561,0.5368
291.0,65.0,689.92,0.5561,0.5368
300.0,65.0,689.93,0.5561,0.5368
300.0,65.0,689.97,0.5561,0.5368
300.0,65.0,689.97,0.5561,0.5368
301.0,65.0,689.98,0.5561,0.5368
301.0,65.0,689.98,0.5561,0.5368
302.0,66.0,690.03,0.5579,0.5448
299.0,65.0,689.99,0.5561,0.5368
300.0,65.0,689.99,0.5561,0.5368
299.0,65.0,689.99,0.5561,0.5368
302.0,65.0,689.95,0.5561,0.5368
300.0,65.0,689.96,0.5561,0.5368
302.0,66.0,689.97,0.5579,0.5448
300.0,65.0,689.91,0.5561,0.5368
301.0,65.0,689.99,0.5561,0.5368
301.79,65.0,689.99,0.5561,0.5368
301.0,65.0,689.97,0.5561,0.5368
300.0,65.0,689.94,0.5561,0.5368
298.0,65.0,689.95,0.5561,0.5368
301.0,65.0,689.97,0.5561,0.5368
302.0,66.0,690.02,0.557,0.5407
302.0,65.0,689.95,0.5561,0.5368
300.0,65.0,690.05,0.5561,0.5368
301.0,65.0,689.92,0.5561,0.5368
299.0,65.0,689.88,0.5561,0.5368
301.0,65.0,689.96,0.5561,0.5368
300.0,65.0,689.95,0.5561,0.5368
302.0,65.0,690.0,0.5561,0.5368
299.0,65.0,689.99,0.5561,0.5368
298.0,65.0,688.01,0.5561,0.5368
299.0,65.0,690.04,0.5561,0.5368
301.0,65.0,690.02,0.5561,0.5368
300.0,65.0,690.01,0.5561,0.5368
299.0,69.0,1113.86,0.8845,0.869
311.0,70.0,1113.02,0.8845,0.869
306.0,69.0,1113.12,0.8845,0.869
300.0,70.0,1111.92,0.8868,0.8795
303.0,70.0,1114.48,0.8868,0.8795
300.0,68.0,1113.26,0.8868,0.8795
296.0,68.0,1109.7,0.8868,0.8795
287.0,70.0,1111.78,0.8868,0.8795
298.0,71.0,1112.13,0.8868,0.8795
274.0,71.0,1114.87,0.8868,0.8795
303.0,68.0,1110.21,0.8868,0.8795
302.0,69.0,1115.59,0.8868,0.8795
307.0,69.0,1113.83,0.8868,0.8795
304.0,66.0,1111.23,0.8868,0.8795
308.0,68.0,1113.83,0.8868,0.8795
305.0,71.0,1120.26,0.8868,0.8795
301.0,67.0,1111.08,0.8868,0.8795
300.0,70.0,1113.74,0.8868,0.8795
302.0,76.0,1114.88,0.8868,0.8795
299.0,69.0,1117.36,0.8868,0.8795
300.0,68.0,1112.72,0.8868,0.8795
292.0,68.0,1112.29,0.8868,0.8795
304.0,68.0,1112.0,0.8868,0.8795
300.0,68.0,1111.22,0.8868,0.8795
302.0,68.0,1113.21,0.8868,0.8795
307.0,68.0,1111.85,0.8868,0.8795
302.0,69.0,1112.03,0.8845,0.869
301.0,69.0,1112.67,0.8868,0.8795
303.0,66.0,1111.35,0.8868,0.8795
306.0,69.0,1112.61,0.8868,0.8795
305.0,68.0,1111.42,0.8868,0.8795
297.0,73.0,1122.16,0.8868,0.8795
295.0,68.0,1116.29,0.8845,0.869
301.0,66.0,1109.46,0.8868,0.8795
303.0,69.0,1111.44,0.8845,0.869
298.0,67.0,1114.69,0.8845,0.869
305.0,67.0,1117.16,0.8868,0.8795
306.0,68.0,1112.1,0.8868,0.8795
302.0,75.0,1116.44,0.8868,0.8795
